log_ingreso,ingreso,escolaridad,experiencia,experiencia_sq,mujer,urbano,horas_trabajo,edad
6.4032943111455785,603.8309720347518,5,42,1764,0,0,46,53
6.536110748488448,689.599330494555,1,50,2500,1,1,55,57
6.197285870114461,491.41346947205426,13,2,4,1,0,51,21
5.720535400537237,305.06821292533374,8,5,25,1,1,54,19
6.0496003956124635,423.9435864745988,17,0,0,1,1,36,23
7.752472910854621,2327.320560631985,18,35,1225,1,1,53,59
6.190496756483263,488.08850713266617,11,4,16,0,1,45,21
6.5194284224708205,678.1906360075548,12,28,784,1,1,29,46
6.357398670600855,576.7441019233858,11,18,324,1,1,58,35
6.26450660093615,525.5822002086853,11,26,676,1,0,28,43
7.220531387281875,1367.2153885795344,17,38,1444,1,1,44,61
6.54961871149481,698.9776108720112,8,37,1369,1,1,39,51
6.898575695353071,990.862420124821,16,5,25,0,1,34,27
6.682562731895974,798.362481589498,15,32,1024,1,1,59,53
6.5674293219781825,711.5383540486656,16,9,81,1,1,46,31
6.045529229655169,422.22115031827866,7,35,1225,1,1,30,48
6.7046544062802065,816.1959053866693,10,16,256,1,1,35,32
5.917873462179254,371.62060773842273,1,18,324,0,1,49,25
5.587729954763656,267.1285370587578,7,18,324,1,1,41,31
6.703897745543197,815.578555582989,11,23,529,1,0,43,40
5.986899862498669,398.17828709186426,0,51,2601,1,1,43,57
6.940176175133922,1032.9521794196658,12,20,400,0,1,55,38
6.04381562553895,421.49824997653525,16,11,121,1,0,37,33
6.9764928490325175,1071.1550690893582,13,43,1849,0,1,39,62
6.469504085060227,645.1637013007921,13,16,256,1,1,27,35
7.455096539073396,1728.6508695655325,15,43,1849,0,1,34,64
7.411473446514057,1654.862903332,16,19,361,1,1,32,41
6.777551706441995,877.9166929968851,5,32,1024,0,1,55,43
6.716740004737273,826.1199696961215,6,30,900,0,1,33,42
5.180867529630721,177.83702297883258,0,56,3136,1,1,43,62
6.843866697924901,938.1095168785828,14,38,1444,0,0,56,58
7.431186219185967,1687.8084971865223,17,23,529,1,1,43,46
6.025237859175753,413.7400421852843,12,14,196,1,1,37,32
5.654470262169973,285.56516797906187,1,55,3025,1,1,51,62
7.331579343730942,1527.792777531534,18,0,0,0,1,54,18
6.905678094970742,997.9249718423539,14,22,484,1,1,39,42
6.2280244375331115,506.7533710140701,11,7,49,0,0,51,24
7.211753266528592,1355.2663286763996,14,6,36,1,1,56,26
6.514921731446379,675.1411171364381,17,18,324,1,0,56,41
6.853869904781097,947.5407128883941,13,0,0,0,1,52,18
6.775382093208177,876.0140181022443,5,50,2500,0,1,20,61
6.866484679707134,959.5694360191873,11,8,64,0,1,47,25
5.724634555687408,306.3213014089113,5,30,900,1,1,46,41
6.819510677160686,915.536907337642,8,14,196,0,1,36,28
5.691151443644802,296.2345216960204,3,25,625,1,0,34,34
6.693264767479109,806.9524684616284,16,3,9,1,1,33,25
6.534004135622021,688.1481407564188,1,45,2025,1,1,50,52
6.303563727566715,546.5160782392509,15,31,961,1,0,53,52
7.103073481980787,1215.6977636234824,13,31,961,0,1,22,50
6.3858797374500185,593.4065449967567,7,9,81,1,1,31,22
6.974472374909961,1068.9930129158095,13,40,1600,1,1,45,59
6.442191337696865,627.780973735155,1,49,2401,1,1,43,56
7.352563753362649,1560.191350600377,15,37,1369,0,0,53,58
6.760176632885772,862.7945802273233,3,36,1296,0,1,27,45
5.029580873998935,152.86892792430783,0,18,324,0,0,31,24
6.7591940071039724,861.9471924291272,13,7,49,0,0,28,26
5.589628909804936,267.63628408268124,7,12,144,0,1,45,25
6.467969553846833,644.1744366862378,2,21,441,0,1,57,29
5.505655078973223,246.07960446509244,4,41,1681,1,0,38,51
6.555013425814816,702.7585848662362,5,39,1521,0,0,40,50
6.108276044538318,449.56302010398673,7,27,729,1,1,32,40
6.463326182902883,641.1902295762319,5,30,900,0,0,54,41
5.560138756006685,259.8588908034946,5,43,1849,1,0,22,54
6.759181707682764,861.9365910427435,3,43,1849,1,1,44,52
6.06796557082681,431.80131817777925,6,49,2401,1,0,51,61
6.844755336440201,938.9435276390091,18,33,1089,1,1,40,57
5.941617541790569,380.5499874712166,6,27,729,0,1,33,39
5.8339873519616,341.71851819532117,2,36,1296,1,1,50,44
6.144898730307839,466.3324213310063,7,39,1521,0,1,27,52
5.433286853947657,228.90037241811626,0,12,144,0,0,26,18
6.1045888005725315,447.9084238954356,0,46,2116,0,1,55,52
6.204510144120795,494.9764294294934,13,35,1225,1,1,54,54
5.970971813876971,391.88632632686347,5,53,2809,0,0,38,64
5.324341153611306,205.27307248017726,9,16,256,1,1,21,31
6.7395394490739085,845.17140173205,13,1,1,0,1,24,20
5.483489780037909,240.68518182054962,3,9,81,1,1,21,18
5.4684922899403645,237.10244140021038,5,11,121,1,1,37,22
6.882849487442575,975.4017988017829,15,22,484,0,0,34,43
6.303275577592907,546.3586223321678,0,25,625,0,1,35,31
5.9994204289667605,403.1950455933508,5,45,2025,1,1,31,56
6.9394970536073295,1032.250917506664,8,30,900,0,1,55,44
7.176205641275724,1307.936052473456,14,6,36,0,1,41,26
6.349522578550182,572.2194539486286,11,15,225,1,1,47,32
6.091939734766851,442.27848258090023,2,24,576,0,1,59,32
6.592038187378366,729.2657363861018,10,27,729,0,1,41,43
7.34005926922543,1540.8034331859856,14,39,1521,0,1,23,59
6.122394113411444,455.95499679791516,2,22,484,0,1,31,30
7.347637314258653,1552.5240646367126,13,30,900,0,1,40,49
5.699831960860974,298.8171837656647,1,49,2401,0,1,46,56
6.704680337375612,816.2170705149775,3,40,1600,0,0,42,49
7.469835467972189,1754.3180203271488,18,0,0,0,1,46,21
6.213733960669304,499.56312209710893,11,30,900,1,1,35,47
5.992378324123444,400.3656778547495,1,47,2209,1,0,51,54
6.503140388869803,667.2337196890703,16,18,324,1,0,55,40
5.5692605064980745,262.2401026676501,2,48,2304,0,1,36,56
6.879267433139334,971.9141068711862,9,47,2209,0,1,37,62
6.819012302984698,915.0807410660473,15,11,121,1,1,46,32
6.213095204402575,499.24412491381395,8,46,2116,1,0,26,60
7.434571808914647,1693.532408238418,10,30,900,0,1,57,46
7.306628116048128,1490.144115460952,14,33,1089,0,0,39,53
6.357826731679867,576.9910364737335,2,22,484,0,1,54,30
7.0318676744519575,1132.1431116053402,15,28,784,1,1,52,49
6.939017481405896,1031.7559973461848,11,7,49,0,0,45,24
5.8453663993368075,345.6291568776819,4,29,841,1,0,43,39
6.50123271914084,665.9620714479527,6,33,1089,1,0,43,45
5.238706008882031,188.4261228566549,8,5,25,1,0,50,19
6.732977802859916,839.6438407858843,17,36,1296,1,0,46,59
6.421328071833487,614.8190960884917,7,49,2401,0,1,28,62
6.259271950504085,522.838149456443,11,6,36,1,1,21,23
6.059388982628242,428.1137719747674,1,38,1444,1,1,25,45
6.993746450197196,1089.7967066819022,9,30,900,1,1,50,45
7.2732113765860325,1441.1711729909744,18,37,1369,1,1,44,61
6.280509375924176,534.0606321806974,8,47,2209,1,1,35,61
6.824233073307877,919.8706600962046,7,24,576,0,1,25,37
6.129836348049335,459.36097920799807,0,41,1681,0,1,42,47
6.114793010339166,452.5023743638605,5,17,289,1,0,24,28
7.1137411622771545,1228.735858171268,11,28,784,0,1,36,45
7.321130821559333,1511.9127069275846,18,18,324,0,1,28,42
7.806172191499228,2455.712424719811,16,34,1156,0,1,45,56
5.934092007563752,377.6968945049522,1,43,1849,1,1,32,50
6.3331316278692,562.9166820134083,10,2,4,0,1,26,18
6.924005274455063,1016.3827447328745,17,21,441,1,1,59,44
6.608505862370482,741.374475263554,10,14,196,0,1,37,30
7.314008447175763,1501.1825560295947,17,35,1225,0,0,56,58
6.203420145275837,494.4371996264531,7,7,49,0,0,43,20
7.45758938857925,1732.9655116738747,14,36,1296,0,1,51,56
5.683381575202043,293.9417372856249,8,9,81,1,0,26,23
6.390152595914619,595.9475119055415,14,5,25,1,1,39,25
6.3956474010981,599.2311405711016,6,32,1024,1,0,53,44
6.10822523091981,449.54017676056947,12,8,64,0,1,38,26
6.4945745491830325,661.5427115417705,12,36,1296,0,1,33,54
5.888466928514852,360.85164872617867,0,44,1936,0,0,51,50
6.518849741846818,677.7982937584948,3,50,2500,0,1,28,59
6.884240004100479,976.7590546759251,3,52,2704,0,1,55,61
5.639319862379648,281.271350177485,3,32,1024,1,1,45,41
7.747647955404323,2316.1183893295,12,14,196,0,0,39,32
5.919673039656785,372.28996991820367,1,42,1764,0,1,48,49
6.443548977318968,628.6338528793583,14,29,841,1,1,35,49
5.403387244848803,222.15764552753006,3,32,1024,0,0,50,41
5.768223107743409,319.9686773569649,5,47,2209,1,0,43,58
5.923071231129011,373.55723450352895,2,21,441,1,1,49,29
6.929390473459402,1021.8709323056813,6,44,1936,0,1,27,56
6.497678552645471,663.5993326371806,5,8,64,0,1,45,19
6.093858756623633,443.12803955423965,2,12,144,1,1,34,20
6.593436647910342,730.2862991778271,3,45,2025,0,0,29,54
7.451633872595735,1722.6754795097668,9,19,361,0,0,55,34
6.933147625743506,1025.7174785181155,8,5,25,1,1,58,19
6.317477809507396,554.1734971706409,5,8,64,0,1,43,19
6.601875672912449,736.4752812725108,10,29,841,0,1,27,45
6.401169807704681,602.5494927924715,6,28,784,1,1,20,40
6.67791779069281,794.6627340106706,17,31,961,1,1,29,54
6.553274101200962,701.5373219561866,3,40,1600,0,1,42,49
6.5298046700229575,685.2643457493152,4,40,1600,0,1,57,50
5.679276778864806,292.73763929824685,3,9,81,0,1,29,18
5.850852065907954,347.5303731411305,3,27,729,0,1,52,36
6.472760995599547,647.2683672530754,12,1,1,1,1,50,19
6.804044337845299,901.4858422357096,15,40,1600,1,1,57,61
6.860537087155511,953.879246227619,13,24,576,1,1,32,43
7.036021203427044,1136.8552801131054,10,33,1089,0,1,54,49
5.881763214462751,358.440692666876,1,16,256,0,0,51,23
6.9001182999136175,992.3921085618182,13,30,900,0,0,41,49
5.380956272510829,217.22990712159338,6,9,81,0,0,26,21
6.245300370175584,515.584067747562,10,12,144,0,1,25,28
5.9122063353144165,369.52054289625124,3,25,625,0,1,35,34
6.138715287495221,463.4577782269741,6,43,1849,0,1,31,55
6.146638759301565,467.1445596320229,15,20,400,1,0,28,41
5.632675144337565,279.408577017254,5,11,121,1,0,59,22
5.5401251695111275,254.70987937439693,5,40,1600,1,0,24,51
5.50948690297447,247.0243470874658,1,16,256,0,1,22,23
6.486300842929385,656.0918818484134,7,26,676,1,0,55,39
5.849834148465504,347.17679589927997,6,16,256,1,0,29,28
6.475016642391886,648.7300239403259,13,14,196,0,1,27,33
6.160740568963289,473.778810829473,8,36,1296,1,1,28,50
5.732124238435516,308.62416386507726,14,6,36,1,1,32,26
6.975404293477374,1069.9896916925768,17,0,0,0,1,38,23
6.765279072665246,867.2081881235941,11,16,256,0,1,42,33
7.006422530247883,1103.6989840104518,18,22,484,0,0,43,46
6.88108612513616,973.6833276251059,12,2,4,0,0,22,20
6.36095280725324,578.7975762777083,6,25,625,0,0,52,37
6.696882758916262,809.8773034061312,9,38,1444,1,1,42,53
6.2209790338425535,503.19563649814074,9,21,441,1,1,33,36
5.509866768429614,247.11820092829115,1,36,1296,0,0,38,43
6.469962773801322,645.4596985068454,13,1,1,1,1,52,20
6.435356347274373,623.5047274911173,12,18,324,1,1,42,36
6.547641061724657,697.5966439450821,5,26,676,0,0,46,37
6.533529716142507,687.8217473034806,8,35,1225,0,1,31,49
6.0762925939170715,435.4119497677589,12,6,36,1,1,26,24
6.955486472247344,1048.8886690879697,8,44,1936,1,1,55,58
6.875325485834613,968.0904140263826,12,32,1024,0,0,37,50
6.3504709150286525,572.7623679223726,4,47,2209,0,1,35,57
7.173095319093586,1303.8742699572683,13,37,1369,0,1,33,56
6.457856490177178,637.6926899949389,4,25,625,0,0,40,35
7.6656668378380735,2133.815216354279,8,43,1849,0,1,46,57
5.8480574609281915,346.5605188407588,7,5,25,1,1,44,18
6.566864912713365,711.1368685211014,6,16,256,0,1,57,28
6.343079265828125,568.5443178017607,7,32,1024,0,1,34,45
6.004608262097069,405.29218932123734,2,34,1156,0,1,29,42
7.161416587820823,1288.735247105483,14,20,400,0,0,49,40
6.408585527058857,607.0344397285879,7,35,1225,1,1,28,48
6.314910951685782,552.752836691661,0,41,1681,0,0,47,47
6.084019749098041,438.78947800798414,6,47,2209,1,1,37,59
7.586720672180752,1971.836600969792,18,28,784,0,1,30,52
5.883682606694203,359.12934163013307,1,17,289,0,1,57,24
6.083067451842543,438.3718188917142,13,14,196,1,1,21,33
7.728490803422806,2272.1704599719474,17,20,400,0,1,41,43
6.218045953696206,501.72188573809797,14,0,0,1,1,42,19
6.352733818188158,574.0599412821074,13,0,0,0,1,39,18
6.067181698552164,431.46297372304775,18,5,25,1,0,48,29
6.983801195142432,1079.0121171131932,18,0,0,1,1,45,22
6.291331169352725,539.871511377817,16,32,1024,1,1,31,54
6.4304455690940365,620.4503399281491,18,25,625,1,0,48,49
6.697130467266191,810.0779416254579,15,5,25,1,1,38,26
7.00533656861708,1102.5010598294368,18,34,1156,1,0,53,58
6.222868442400844,504.14727737634223,0,46,2116,0,1,46,52
6.684960158592478,800.2787933069249,18,12,144,1,0,49,36
6.9819317774698595,1076.996877042136,6,21,441,0,1,56,33
6.792492696987409,891.1321179335796,10,4,16,0,0,50,20
6.918718201794944,1011.0232358520025,4,27,729,0,1,47,37
6.634353815834543,760.7872982482688,16,19,361,1,0,44,41
6.124414713638917,456.87723098769254,10,34,1156,0,0,25,50
6.176801348550367,481.4495016340666,7,28,784,1,1,26,41
5.912095089153663,369.47943744098893,9,13,169,0,0,25,28
6.627780595184478,755.802875272047,11,8,64,0,1,54,25
7.227215921136222,1376.3851999434016,9,38,1444,1,1,44,53
7.384945930077621,1611.5406567597192,12,37,1369,0,1,40,55
7.365723845621504,1580.8593105596044,17,34,1156,0,1,36,57
6.775900281068258,876.4680755650578,9,22,484,0,1,45,37
6.680327302630172,796.5797920140217,18,28,784,1,0,36,52
6.995370604215286,1091.568142534888,16,20,400,0,0,26,42
7.011186241879798,1108.9692306999957,15,31,961,0,0,44,52
6.697311150528859,810.2243223748437,4,32,1024,1,1,53,42
6.292066244016248,540.2685031388056,2,38,1444,0,1,45,46
6.187712691823975,486.73152700605823,14,15,225,1,1,25,35
6.339629024642089,566.5860829143197,1,56,3136,0,1,29,63
7.050356516212986,1153.2698288915497,12,17,289,0,1,36,35
5.8173824238812655,336.0911570397175,7,6,36,1,0,33,19
5.91526283409446,370.651709809329,16,30,900,1,0,22,52
5.961938356200861,388.3621793655062,3,24,576,1,1,35,33
6.702601215512787,814.5218186871069,18,34,1156,1,1,24,58
5.775923604172491,322.44210610663475,8,39,1521,0,1,42,53
7.286172433017348,1459.97184901125,14,30,900,0,1,46,50
6.140648307864286,464.3545179813665,8,7,49,0,1,24,21
7.078842841096998,1186.5946452095777,8,36,1296,1,1,56,50
6.553379847230376,701.6115106649805,13,12,144,1,1,57,31
6.242403703539377,514.0927535431692,15,17,289,1,0,37,38
6.892024458173693,984.3922623085566,16,15,225,0,1,31,37
6.588697261058122,726.8333787192867,12,7,49,0,0,40,25
6.389829288005901,595.7548685050073,8,10,100,1,1,26,24
6.251466396439397,518.7729940486165,14,0,0,1,1,36,20
5.659795027137181,287.0897909084365,6,22,484,1,0,28,34
5.828634775976612,339.89433026870444,0,44,1936,1,1,43,50
6.1064864753695405,448.7592154303362,0,23,529,0,1,30,29
6.844210554300121,938.4321472826974,4,29,841,0,1,44,39
7.084682573441647,1193.5443126881148,8,25,625,0,0,56,39
6.747716534294645,852.1107735609991,11,46,2116,0,1,26,63
6.6074515349497895,740.5932357387782,5,36,1296,0,1,36,47
7.345258108906196,1548.834681712461,12,37,1369,0,1,38,55
6.620383167283687,750.2325065970965,7,42,1764,0,1,40,55
6.724539171876486,832.5882080659621,14,42,1764,1,0,28,62
5.92232242640081,373.27761778230575,5,14,196,1,0,27,25
6.493846376469705,661.0611695346774,5,33,1089,1,1,46,44
6.631296808684386,758.465117308099,3,35,1225,0,1,42,44
7.29066515813625,1466.5458577595139,10,35,1225,0,0,29,51
6.807180225191412,904.3172374289778,17,15,225,0,1,21,38
6.095688291472774,443.93949981630647,2,39,1521,1,0,26,47
6.059936155205082,428.3480881904171,2,42,1764,0,1,21,50
6.8992171078264635,991.4981755094252,11,28,784,0,1,35,45
5.508087207343367,246.6788300538225,5,53,2809,1,0,25,64
6.525693388058087,682.4528142630049,5,39,1521,0,1,35,50
5.70720734981997,301.0292240249846,7,9,81,1,0,44,22
6.678085339704348,794.7958901210359,14,16,256,0,0,29,36
6.292794382550642,540.6620367109521,17,0,0,0,1,28,21
7.2832444599840835,1455.7033428929242,15,31,961,0,0,51,52
5.984157831399451,397.08796537680365,5,23,529,1,1,51,34
6.497146263087856,663.2461996348202,16,39,1521,1,0,21,61
6.222863065400517,504.14456658355505,8,31,961,1,0,40,45
6.76885526106175,870.3150400160004,18,23,529,0,0,22,47
7.05072243475733,1153.6919089273201,17,23,529,0,0,53,46
5.971683786307501,392.165437935205,4,53,2809,1,1,48,63
5.522448925445189,250.24712395580403,5,12,144,1,0,39,23
6.505844670018756,669.0405492455931,11,35,1225,1,0,42,52
7.043250546685467,1145.1037768508236,10,42,1764,0,1,56,58
7.508730963218382,1823.8974805546122,15,33,1089,0,1,27,54
7.514555992477244,1834.5527402150612,16,19,361,0,1,55,41
6.474133090819583,648.1570906529993,8,32,1024,1,1,33,46
5.451601773480878,233.1312905160456,0,57,3249,1,0,42,63
5.758006251862399,316.71624659395684,2,40,1600,0,1,46,48
6.634719274003395,761.0653849926133,8,38,1444,0,1,34,52
7.024830485074358,1124.2039734990985,18,26,676,0,1,54,50
6.60754182429472,740.6601064357031,12,20,400,0,0,41,38
6.9445375381943375,1037.4670973395785,13,30,900,1,0,55,49
6.95423230279369,1047.5740095341664,18,16,256,0,1,34,40
5.468393609508513,237.07904518329332,6,38,1444,1,0,51,50
5.527668376633754,251.55669124262812,3,11,121,1,1,37,20
6.694600548296684,808.0311003371942,11,18,324,1,1,50,35
6.528749274543986,684.5415023668255,13,23,529,1,0,55,42
5.428655084121499,227.84261012672548,1,52,2704,1,1,44,59
5.560432987913121,259.9353608297491,0,42,1764,1,1,29,48
7.348600148843806,1554.0196083655035,17,0,0,0,1,59,20
6.1446960177349235,466.2378994667534,7,44,1936,1,1,33,57
6.198907935142727,492.2112209027387,2,55,3025,1,1,45,63
6.261776024223955,524.1490152936192,5,30,900,0,1,38,41
6.2999455746543696,544.5422724180283,12,31,961,1,1,49,49
7.155404374926544,1281.0103415929302,8,50,2500,1,1,58,64
6.4248974630940285,617.0175472289046,8,25,625,1,1,31,39
7.296105960909417,1474.5467905408398,8,26,676,0,1,50,40
6.010043758434996,407.501151496414,14,0,0,1,0,37,19
6.722518878666306,830.9078337582814,12,26,676,0,1,21,44
7.127698668908495,1246.0061920885128,15,38,1444,1,0,33,59
6.431584051061579,621.1571137001703,1,12,144,0,1,39,19
6.270093948614947,528.5270299277039,13,24,576,1,0,58,43
6.194443268046296,490.0185600528924,5,23,529,0,1,39,34
5.680244655695095,293.02111043712137,1,50,2500,0,0,53,57
7.0442742307656125,1146.2766015558702,7,37,1369,0,1,53,50
6.0936946651780275,443.0553319991479,3,17,289,0,1,56,26
6.746508650165923,851.0821438395226,13,41,1681,1,1,22,60
7.033705067799992,1134.2252160643002,10,40,1600,1,1,54,56
7.71911594930259,2250.9687302162697,13,27,729,0,0,52,46
6.356471265570173,576.2094744882509,11,42,1764,0,0,38,59
7.790118998649422,2416.60513783291,15,22,484,0,1,50,43
5.93647870164135,378.599418041563,5,41,1681,1,0,41,52
6.812312891180682,908.9707279472377,0,36,1296,0,1,46,42
7.295418730690898,1473.5337855514488,11,24,576,0,0,57,41
6.63728119650802,763.0176752703038,6,18,324,0,0,47,30
6.131379212799391,460.07025809036304,7,11,121,0,1,40,24
6.663105116135447,782.9784052710472,8,39,1521,0,1,39,53
6.330865327741404,561.642388376349,1,55,3025,0,1,57,62
6.526082091438438,682.7181375415256,16,15,225,1,1,32,37
6.274015643614884,530.6038213478671,12,0,0,1,0,48,18
6.629583727973694,757.1669176238044,4,15,225,0,0,40,25
6.154378352930786,470.7740961406816,9,48,2304,1,0,52,63
6.71451555035091,824.2843458934975,11,16,256,0,1,51,33
6.57109321315858,714.1501348671992,16,9,81,1,1,47,31
6.790406940174456,889.2753700827278,5,18,324,0,1,33,29
5.746529493679084,313.102149547438,2,32,1024,1,0,41,40
7.379233729452187,1602.3614548927678,14,12,144,1,1,56,32
6.7825741973425,882.3371130664113,6,33,1089,0,0,53,45
6.337692434717809,565.4898997861034,5,40,1600,1,1,36,51
6.836241108400613,930.9830849296858,3,10,100,0,1,52,19
6.981109280467498,1076.1114145342635,18,25,625,1,1,52,49
5.7627700682453735,318.22862412250896,4,30,900,0,0,57,40
6.043528164175796,421.37710292841194,2,31,961,0,1,45,39
6.349426046292962,572.1642189791345,8,28,784,1,0,58,42
6.396235443321752,599.5836174089591,5,28,784,0,1,26,39
7.311307956357224,1497.134095196074,12,21,441,0,1,44,39
6.474830907540637,648.609543354897,3,50,2500,0,1,49,59
5.887842716390139,360.6264710384542,1,16,256,1,0,52,23
6.450303802810457,632.8945387479416,3,23,529,0,1,58,32
6.689717175545014,804.0948023070903,7,47,2209,0,0,47,60
6.802411991169394,900.015505194135,12,36,1296,1,1,37,54
7.154769031178426,1280.19671817377,9,35,1225,0,1,29,50
6.973666979940113,1068.132397934413,17,2,4,0,1,21,25
6.87415076544698,966.9538461853635,8,47,2209,0,1,33,61
6.507214226365126,669.9574657168571,0,55,3025,0,0,32,61
6.077698400072941,436.024485019116,12,4,16,0,0,20,22
7.5597849160130295,1919.4326297500957,17,33,1089,1,1,51,56
6.586484371074041,725.226754712131,14,1,1,0,0,44,21
5.762945741682684,318.2845333494985,1,16,256,0,1,29,23
6.534181386880983,688.2701266914811,10,46,2116,0,0,34,62
7.5352140538354,1872.8452055527873,13,30,900,0,1,48,49
6.7399543108646185,845.5221037946424,14,27,729,1,1,36,47
6.767601384593943,869.2244563392352,13,45,2025,0,1,59,64
7.196449274521243,1334.6832470056481,15,31,961,0,1,42,52
7.368368801326954,1585.04614797148,14,37,1369,0,0,26,57
7.260176295949922,1422.5072973717902,18,9,81,1,1,55,33
5.611074280396965,273.4378291765738,8,16,256,0,1,25,30
5.855635267653568,349.1966629518368,4,49,2401,0,1,21,59
5.92127464944736,372.8867109245157,4,37,1369,1,1,51,47
5.965941011907734,389.91977463832956,10,20,400,0,1,24,36
6.00291765742276,404.6075793170061,3,25,625,1,1,38,34
7.050936197764915,1153.9385519402356,17,13,169,1,1,21,36
5.92726659021611,375.1277333416072,2,37,1369,0,1,42,45
6.35522279901121,575.4905451014243,3,34,1156,0,1,59,43
6.4877362257799565,657.034301088418,13,35,1225,1,1,23,54
5.251376604130808,190.828783419116,6,31,961,1,0,23,43
6.760745227137593,863.2852997630761,7,27,729,1,0,30,40
6.988811095574398,1084.4314241441598,15,5,25,0,0,39,26
6.699541343040636,812.033295020305,14,9,81,0,0,33,29
5.629015635039414,278.38794737253676,6,6,36,1,0,54,18
6.327132333191256,559.5496888495621,16,0,0,0,1,33,18
6.110586962012237,450.6031244775827,11,47,2209,1,1,22,64
7.582961221371843,1964.4374952667847,17,28,784,0,0,34,51
6.55530781264112,702.9654981904768,13,30,900,1,1,40,49
6.923209524682216,1015.5742801050603,14,22,484,0,1,21,42
7.277077985923755,1446.7544060401528,14,37,1369,0,1,40,57
6.850810757486622,944.6464754865302,4,52,2704,1,0,29,62
6.418344470078799,612.9874545577834,15,0,0,0,0,46,18
5.91837028994852,371.8052850485878,4,23,529,0,1,38,33
5.101963165191112,164.344225677484,1,49,2401,0,0,31,56
5.595937961772361,269.3301530423949,8,8,64,1,0,35,22
7.061250193573986,1165.9018580202246,8,25,625,1,1,27,39
6.495574868565459,662.2047966314939,3,37,1369,0,0,56,46
7.036940493789567,1137.9008607381584,14,0,0,0,0,44,20
6.886813171815053,979.2756559703605,10,13,169,0,1,43,29
5.776996314024293,322.78817851494637,0,37,1369,1,0,59,43
